docente,doi,campo,antes,depois
Ozeas de Lima Lins Filho,10.1007/s11325-024-03181-3,titulo,Minimal changes in sleep parameters during overnight ambulatory blood pressure monitoring do not affect outcomes,"Minimal changes in sleep parameters during overnight ambulatory blood pressure monitoring do not affect outcomes. Sleep and Breathing, v. 29, p. 00-6, 2025"
Vilde Gomes de Menezes,10.55905/oelv23n4-058,titulo,Análise da oferta de Políticas Públicas de esportes nas regiões metropolitanas do Brasil,"Produção científica no campo das políticas públicas de esporte e lazer no Brasil entre 2003 e 2023. OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA, v. 23, p. e8932, 2025"
Vilde Gomes de Menezes,10.56238/levv16n49-040,titulo,POLÍTICAS PÚBLICAS Y FINANCIACIÓN DE LA EDUCACIÓN EN BRASIL: FUNDEF Y FUNDEB,"AFROCENTRICIDAD Y EL DESCUIDO DE LAS POLÍTICAS EDUCATIVAS PARA LAS RELACIONES ÉTNICO-RACIALES. LUMEN ET VIRTUS, v. 16, p. 6696-6714, 2025"
Vilde Gomes de Menezes,10.56238/arev7n6-087,titulo,"POLÍTICAS PÚBLICAS Y LA EVOLUCIÓN HISTÓRICA DEL FINANCIAMIENTO DE LA EDUCACIÓN EN BRASIL: MARCOS JURÍDICOS, AVANCES Y RETROCESO ENTRE 1934 Y 1988","POLÍTICAS PÚBLICAS Y LA EVOLUCIÓN HISTÓRICA DEL FINANCIAMIENTO DE LA EDUCACIÓN EN BRASIL: MARCOS JURÍDICOS, AVANCES Y RETROCESO ENTRE 1934 Y 1988. ARACÊ - DIREITOS HUMANOS EM REVISTA, v. 7, p. 30562-30571, 2025"
Leonardo Gomes de Oliveira Luz,10.3390/adolescents6010009,titulo,Analysis of Factors Associated with Active and Sedentary Behaviors of Children and Adolescents Considering Bronfenbrenner?s Bioecological Theory: A Scoping Review Protocol,Analysis of Factors Associated with Active and Sedentary Behaviors of Children and Adolescents Considering Bronfenbrenner's Bioecological Theory: A Scoping Review Protocol
Eduardo Zapaterra Campos,10.1080/02640414.2025.2540202,titulo,Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers,"Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers. JOURNAL OF SPORTS SCIENCES, v. 7, p. 1-11, 2025"
Leonardo Gomes de Oliveira Luz,10.1080/02640414.2025.2540202,titulo,Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers,"Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers. JOURNAL OF SPORTS SCIENCES, v. 1, p. 1-11, 2025"
Pedro Pinheiro Paes Neto,10.3390/healthcare13151789,titulo,Relationship of Physical Activity Levels and Body Composition with Psychomotor Performance and Strength in Men,"Relationship of Physical Activity Levels and Body Composition with Psychomotor Performance and Strength in Men. Healthcare, v. 13, p. 1789, 2025"
Pedro Pinheiro Paes Neto,10.1016/j.jbmt.2024.11.012,ano,2025,2026
Pedro Pinheiro Paes Neto,10.1016/j.jbmt.2024.11.012,titulo,Impact of strength training on reducing risk of fractures in people living with Human Immunodeficiency virus,Effects of strength training on morphological changes of lipodystrophy in people living with HIV: A quasi-experimental non-randomized controlled trial
Daniel da Rocha Queiroz,10.55905/cuadv17n4-164,titulo,Comportamentos de Movimento de 24 horas em Crianças e Adolescentes: Protocolo de Revisão de Escopo,"Relação dos indicadores de atividade física com o estresse ocupacional e a Síndrome de Burnout em policiais: um protocolo de revisão sistemática. CUADERNOS DE EDUCACIÓN Y DESARROLLO, v. 17, p. e9137, 2025"
Rafael dos Santos Henrique,10.1002/ajhb.70024,ano,2025,2024
Rafael dos Santos Henrique,10.1002/ajhb.70024,titulo,Correlates of moderate-to-vigorous physical activity among prepubertal girls: a bioecological approach,"Biocultural correlates of gross motor coordination in prepubescent children: A cross-sectional study. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 36, p. e24002, 2024"
Vilde Gomes de Menezes,10.3390/ijerph23020221,titulo,Effect of Physical Activity on Drug Expenditures for the Physical and Mental Health of Primary Care Users,"Effect of Physical Activity on Drug Expenditures for the Physical and Mental Health of Primary Care Users. International Journal of Environmental Research and Public Health, v. 23, p. 221, 2026"
Saulo Fernandes Melo de Oliveira,10.5281/zenodo.16649241,titulo,PERFIL DAS PESSOAS COM DEFICIÊNCIA NA EDUCAÇÃO FÍSICA: UMA REVISÃO INTEGRATIVA,"PERFIL DAS PESSOAS COM DEFICIÊNCIA NA EDUCAÇÃO FÍSICA: UMA REVISÃO INTEGRATIVA. Gestus (Vitória de Santo Antão), v. 1, p. 83-89, 2025"
Leonardo Gomes de Oliveira Luz,10.1186/s12955-026-02495-y,titulo,Associations Between Physical Activity and Quality of Life in University Students during the COVID-19 Pandemic,"Associations Between Physical Activity and Quality of Life in University Students during the COVID-19 Pandemic. Health and Quality of Life Outcomes, v. 1, p. 1, 2026"
Rafael dos Santos Henrique,10.1080/02640414.2025.2540202,titulo,Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers,"Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers. JOURNAL OF SPORTS SCIENCES, v. 43, p. 2517-2527, 2025"
Saulo Fernandes Melo de Oliveira,10.1080/23335432.2025.2531944,titulo,Paralympic School Games,Profile of para athletes and characterization of sports injuries during the 2023 Paralympic School Games
Vilde Gomes de Menezes,10.55905/revconv.18n.3-210,titulo,Impacto da regulamentação do fair play financeiro na sustentabilidade económica e financeira dos clubes de futebol ? uma revisão sistemática da literatura e metanálises,"Impacto da regulamentação do fair play financeiro na sustentabilidade económica e financeira dos clubes de futebol ? uma revisão sistemática da literatura e metanálises. CONTRIBUCIONES A LAS CIENCIAS SOCIALES, v. 18, p. 1-29, 2025"
Vilde Gomes de Menezes,10.51995/2237-3373,titulo,Indicadores da Saúde Financeira dos Clubes de Futebol Profissionais,"Indicadores da Saúde Financeira dos Clubes de Futebol Profissionais. REVISTA INTERCONTINENTAL DE GESTÃO DESPORTIVA, v. 15, p. 2-16, 2025"
Daniel da Rocha Queiroz,10.1590/1984-0462/2026/44/2025027,titulo,"Factors associated with meeting the recommendations for physical activity, sedentary behavior, and sleep in adolescents: a cross- sectional study","Factors associated with meeting the recommendations for physical activity, sedentary behavior, and sleep in adolescents: a cross-sectional study"
Ozeas de Lima Lins Filho,10.1007/s13665-025-00396-x,titulo,Exercise Interventions in Obstructive Sleep Apnea: Program Features and Clinical Benefits,"Exercise Interventions in Obstructive Sleep Apnea: Program Features and Clinical Benefits. Current Pulmonology Reports, v. 14, p. 14-31, 2025"
Pedro Pinheiro Paes Neto,10.1080/02701367.2025.2515968,titulo,Injuries in Female Soccer Athletes: Risk of Injury Across Different Phases of the Menstrual Cycle,"Injuries in Female Soccer Athletes: Risk of Injury Across Different Phases of the Menstrual Cycle. RESEARCH QUARTERLY FOR EXERCISE AND SPORT, v. 1, p. 1-8, 2025"
Vilde Gomes de Menezes,10.46642/efd.v30i324.7472,titulo,Associação entre comportamento sedentário e custos públicos com doenças crônicas: protocolo de revisão sistemática,"Associação entre comportamento sedentário e custos públicos com doenças crônicas: protocolo de revisão sistemática. LECTURAS EDUCACIÓN FÍSICA Y DEPORTES, v. 30, p. 183-197, 2025"
André dos Santos Costa,10.23736/S0022-4707.25.16698-X,titulo,Effects of daily protein intake frequency during 8 weeks of resistance training on lean mass and strength adaptations: a randomized non-controlled clinical trial,"Effects of daily protein intake frequency during 8 weeks of resistance training on lean mass and strength adaptations: a randomized non-controlled clinical trial. THE JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS, v. 65, p. 1, 2025"
Tony Meireles dos Santos,10.1080/1612197x.2024.2446329,titulo,Exercise expectation changes psychophysiological responses to sprint exercise regardless of changes in pacing and performance,"Exercise expectation changes psychophysiological responses to sprint exercise regardless of changes in pacing and performance. INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY, v. 1, p. 1-14, 2025"
