docente,tipo_producao,doi,titulo_revisado,titulo_banco,periodico_revisado,periodico_banco,ano_revisado,ano_banco,diffs
Vilde Gomes de Menezes,artigo,10.56238/levv16n49-040,"AFROCENTRICIDAD Y EL DESCUIDO DE LAS POLÍTICAS EDUCATIVAS PARA LAS RELACIONES ÉTNICO-RACIALES. LUMEN ET VIRTUS, v. 16, p. 6696-6714, 2025",POLÍTICAS PÚBLICAS Y FINANCIACIÓN DE LA EDUCACIÓN EN BRASIL: FUNDEF Y FUNDEB,LUMEN ET VIRTUS,LUMEN ET VIRTUS,2025,2025,titulo
Vilde Gomes de Menezes,artigo,10.56238/arev7n6-087,"POLÍTICAS PÚBLICAS Y LA EVOLUCIÓN HISTÓRICA DEL FINANCIAMIENTO DE LA EDUCACIÓN EN BRASIL: MARCOS JURÍDICOS, AVANCES Y RETROCESO ENTRE 1934 Y 1988. ARACÊ - DIREITOS HUMANOS EM REVISTA, v. 7, p. 30562-30571, 2025","POLÍTICAS PÚBLICAS Y LA EVOLUCIÓN HISTÓRICA DEL FINANCIAMIENTO DE LA EDUCACIÓN EN BRASIL: MARCOS JURÍDICOS, AVANCES Y RETROCESO ENTRE 1934 Y 1988",ARACÊ - DIREITOS HUMANOS EM REVISTA,ARACÊ - DIREITOS HUMANOS EM REVISTA,2025,2025,titulo
Eduardo Zapaterra Campos,artigo,10.1080/02640414.2025.2540202,"Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers. JOURNAL OF SPORTS SCIENCES, v. 7, p. 1-11, 2025",Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers,JOURNAL OF SPORTS SCIENCES,JOURNAL OF SPORTS SCIENCES,2025,2025,titulo
Leonardo Gomes de Oliveira Luz,artigo,10.1080/02640414.2025.2540202,"Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers. JOURNAL OF SPORTS SCIENCES, v. 1, p. 1-11, 2025",Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers,JOURNAL OF SPORTS SCIENCES,JOURNAL OF SPORTS SCIENCES,2025,2025,titulo
Pedro Pinheiro Paes Neto,artigo,10.3390/healthcare13151789,"Relationship of Physical Activity Levels and Body Composition with Psychomotor Performance and Strength in Men. Healthcare, v. 13, p. 1789, 2025",Relationship of Physical Activity Levels and Body Composition with Psychomotor Performance and Strength in Men,Healthcare,Healthcare,2025,2025,titulo
Pedro Pinheiro Paes Neto,artigo,10.1016/j.jbmt.2024.11.012,Effects of strength training on morphological changes of lipodystrophy in people living with HIV: A quasi-experimental non-randomized controlled trial,Impact of strength training on reducing risk of fractures in people living with Human Immunodeficiency virus,JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,JOURNAL OF BODYWORK AND MOVEMENT THERAPIES,2026,2025,"titulo,ano"
Daniel da Rocha Queiroz,artigo,10.55905/cuadv17n4-164,"Relação dos indicadores de atividade física com o estresse ocupacional e a Síndrome de Burnout em policiais: um protocolo de revisão sistemática. CUADERNOS DE EDUCACIÓN Y DESARROLLO, v. 17, p. e9137, 2025",Comportamentos de Movimento de 24 horas em Crianças e Adolescentes: Protocolo de Revisão de Escopo,CUADERNOS DE EDUCACIÓN Y DESARROLLO,CUADERNOS DE EDUCACIÓN Y DESARROLLO,2025,2025,titulo
Rafael dos Santos Henrique,artigo,10.1002/ajhb.70024,"Biocultural correlates of gross motor coordination in prepubescent children: A cross-sectional study. AMERICAN JOURNAL OF HUMAN BIOLOGY, v. 36, p. e24002, 2024",Correlates of moderate-to-vigorous physical activity among prepubertal girls: a bioecological approach,AMERICAN JOURNAL OF HUMAN BIOLOGY,AMERICAN JOURNAL OF HUMAN BIOLOGY,2024,2025,"titulo,ano"
Vilde Gomes de Menezes,artigo,10.3390/ijerph23020221,"Effect of Physical Activity on Drug Expenditures for the Physical and Mental Health of Primary Care Users. International Journal of Environmental Research and Public Health, v. 23, p. 221, 2026",Effect of Physical Activity on Drug Expenditures for the Physical and Mental Health of Primary Care Users,International Journal of Environmental Research and Public Health,International Journal of Environmental Research and Public Health,2026,2026,titulo
Saulo Fernandes Melo de Oliveira,artigo,10.5281/zenodo.16649241,"PERFIL DAS PESSOAS COM DEFICIÊNCIA NA EDUCAÇÃO FÍSICA: UMA REVISÃO INTEGRATIVA. Gestus (Vitória de Santo Antão), v. 1, p. 83-89, 2025",PERFIL DAS PESSOAS COM DEFICIÊNCIA NA EDUCAÇÃO FÍSICA: UMA REVISÃO INTEGRATIVA,Gestus (Vitória de Santo Antão),Gestus (Vitória de Santo Antão),2025,2025,titulo
Leonardo Gomes de Oliveira Luz,artigo,10.1186/s12955-026-02495-y,"Associations Between Physical Activity and Quality of Life in University Students during the COVID-19 Pandemic. Health and Quality of Life Outcomes, v. 1, p. 1, 2026",Associations Between Physical Activity and Quality of Life in University Students during the COVID-19 Pandemic,Health and Quality of Life Outcomes,Health and Quality of Life Outcomes,2026,2026,titulo
Rafael dos Santos Henrique,artigo,10.1080/02640414.2025.2540202,"Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers. JOURNAL OF SPORTS SCIENCES, v. 43, p. 2517-2527, 2025",Understanding the mediating role of anthropometry and body composition in the relationship between biological maturation and sport-specific performance in young swimmers,JOURNAL OF SPORTS SCIENCES,JOURNAL OF SPORTS SCIENCES,2025,2025,titulo
Saulo Fernandes Melo de Oliveira,artigo,10.1080/23335432.2025.2531944,Profile of para athletes and characterization of sports injuries during the 2023 Paralympic School Games,Paralympic School Games,International Biomechanics,International Biomechanics,2025,2025,titulo
Vilde Gomes de Menezes,artigo,10.55905/revconv.18n.3-210,"Impacto da regulamentação do fair play financeiro na sustentabilidade económica e financeira dos clubes de futebol ? uma revisão sistemática da literatura e metanálises. CONTRIBUCIONES A LAS CIENCIAS SOCIALES, v. 18, p. 1-29, 2025",Impacto da regulamentação do fair play financeiro na sustentabilidade económica e financeira dos clubes de futebol ? uma revisão sistemática da literatura e metanálises,CONTRIBUCIONES A LAS CIENCIAS SOCIALES,CONTRIBUCIONES A LAS CIENCIAS SOCIALES,2025,2025,titulo
Vilde Gomes de Menezes,artigo,10.51995/2237-3373,"Indicadores da Saúde Financeira dos Clubes de Futebol Profissionais. REVISTA INTERCONTINENTAL DE GESTÃO DESPORTIVA, v. 15, p. 2-16, 2025",Indicadores da Saúde Financeira dos Clubes de Futebol Profissionais,REVISTA INTERCONTINENTAL DE GESTÃO DESPORTIVA,REVISTA INTERCONTINENTAL DE GESTÃO DESPORTIVA,2025,2025,titulo
Ozeas de Lima Lins Filho,artigo,10.1007/s13665-025-00396-x,"Exercise Interventions in Obstructive Sleep Apnea: Program Features and Clinical Benefits. Current Pulmonology Reports, v. 14, p. 14-31, 2025",Exercise Interventions in Obstructive Sleep Apnea: Program Features and Clinical Benefits,Current Pulmonology Reports,Current Pulmonology Reports,2025,2025,titulo
Pedro Pinheiro Paes Neto,artigo,10.1080/02701367.2025.2515968,"Injuries in Female Soccer Athletes: Risk of Injury Across Different Phases of the Menstrual Cycle. RESEARCH QUARTERLY FOR EXERCISE AND SPORT, v. 1, p. 1-8, 2025",Injuries in Female Soccer Athletes: Risk of Injury Across Different Phases of the Menstrual Cycle,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,2025,2025,titulo
Vilde Gomes de Menezes,artigo,10.46642/efd.v30i324.7472,"Associação entre comportamento sedentário e custos públicos com doenças crônicas: protocolo de revisão sistemática. LECTURAS EDUCACIÓN FÍSICA Y DEPORTES, v. 30, p. 183-197, 2025",Associação entre comportamento sedentário e custos públicos com doenças crônicas: protocolo de revisão sistemática,LECTURAS EDUCACIÓN FÍSICA Y DEPORTES,LECTURAS EDUCACIÓN FÍSICA Y DEPORTES,2025,2025,titulo
André dos Santos Costa,artigo,10.23736/S0022-4707.25.16698-X,"Effects of daily protein intake frequency during 8 weeks of resistance training on lean mass and strength adaptations: a randomized non-controlled clinical trial. THE JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS, v. 65, p. 1, 2025",Effects of daily protein intake frequency during 8 weeks of resistance training on lean mass and strength adaptations: a randomized non-controlled clinical trial,THE JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,THE JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,2025,2025,titulo
Tony Meireles dos Santos,artigo,10.1080/1612197x.2024.2446329,"Exercise expectation changes psychophysiological responses to sprint exercise regardless of changes in pacing and performance. INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY, v. 1, p. 1-14, 2025",Exercise expectation changes psychophysiological responses to sprint exercise regardless of changes in pacing and performance,INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY,INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY,2025,2025,titulo
